idDeputado;nome;sgUF;sgPartido;idLegislatura;situacao;condicaoEleitoral;produtividade_legislativa;gasto_ceap_ajustado;pct_andamento;pct_fracasso;pct_sucesso;temas_destaque;quadrante;ranking
220571;Daniel Agrobom;GO;PL;57;Exercício;Titular;143.20000000000002;360429.9;0.6081504702194357;0.3887147335423197;0.003134796238244514;Direitos Humanos e Minorias, Finanças Públicas e Orçamento e Trabalho e Emprego;Alta produtividade e baixo custo;34
220598;Tarcísio Motta;RJ;PSOL;57;Exercício;Titular;182.4;634205.49;0.5969773299748111;0.40302267002518893;0.0;Direitos Humanos e Minorias, Educação e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;35
220654;Delegado Paulo Bilynskyj;SP;PL;57;Exercício;Titular;470.6;804067.98;0.6244979919678715;0.37248995983935745;0.0030120481927710845;Administração Pública, Defesa e Segurança e Direitos Humanos e Minorias;Alta produtividade e baixo custo;36
178947;Sóstenes Cavalcante;RJ;PL;57;Exercício;Titular;385.0;823831.67;0.8290788013318535;0.16759156492785793;0.003329633740288568;Arte, Cultura e Religião, Administração Pública e Direitos Humanos e Minorias;Alta produtividade e baixo custo;37
178873;Helder Salomão;ES;PT;57;Exercício;Titular;161.5;635586.75;0.5955678670360111;0.40166204986149584;0.002770083102493075;Trabalho e Emprego, Homenagens e Datas Comemorativas e Administração Pública;Alta produtividade e baixo custo;38
220557;Daniela Reinehr;SC;PL;57;Exercício;Titular;230.8;779731.98;0.7977777777777778;0.2;0.0022222222222222222;Administração Pública, Direitos Humanos e Minorias e Defesa e Segurança;Alta produtividade e baixo custo;38
73441;Celso Russomanno;SP;REPUBLICANOS;57;Exercício;Titular;122.30000000000001;255421.67;0.47330960854092524;0.5195729537366548;0.0071174377224199285;Processo Legislativo e Atuação Parlamentar, Administração Pública e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;39
220569;Silvye Alves;GO;UNIÃO;57;Exercício;Titular;207.5;753720.15;0.6746411483253588;0.32057416267942584;0.004784688995215311;Direitos Humanos e Minorias, Defesa e Segurança e Direito Penal e Processual Penal;Alta produtividade e baixo custo;40
160604;Pedro Uczai;SC;PT;57;Exercício;Titular;184.3;727103.62;0.6009852216748769;0.39901477832512317;0.0;Finanças Públicas e Orçamento, Educação e Administração Pública;Alta produtividade e baixo custo;41
220564;Yandra Moura;SE;UNIÃO;57;Exercício;Titular;154.8;631361.41;0.5333333333333333;0.4666666666666667;0.0;Direitos Humanos e Minorias, Saúde e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;42
