id;uri;siglaTipo;codTipo;numero;ano;ementa;"id;""uri"";""siglaTipo"";""numero"";""ano"";""codTipo"";""descricaoTipo"";""ementa"";""ementaDetalhada"";""keywords"";""dataApresentacao"";""uriOrgaoNumerador"";""uriPropAnterior"";""uriPropPrincipal"";""uriPropPosterior"";""urlInteiroTeor"";""urnFinal"";""ultimoStatus_dataHora"";""ultimoStatus_sequencia"";""ultimoStatus_uriRelator"";""ultimoStatus_idOrgao"";""ultimoStatus_siglaOrgao"";""ultimoStatus_uriOrgao"";""ultimoStatus_regime"";""ultimoStatus_descricaoTramitacao"";""ultimoStatus_idTipoTramitacao"";""ultimoStatus_descricaoSituacao"";""ultimoStatus_idSituacao"";""ultimoStatus_despacho"";""ultimoStatus_apreciacao"";""ultimoStatus_url"""
2453451.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2453451;REQ;294.0;138.0;2024;Requer a realização de Audiência Pública para debater a modernização das Centrais de Abastecimento - CEASA.;
2361135.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2361135;RIC;148.0;1242.0;2023;Requer ao Ministro de Estado de Educação, Sr. Camilo Santana, informações acerca da contratação de obra para a construção da Escola Infantil Jardim Vitória, no município de Boa Vista do Ramos/AM, proveniente de recursos federais, com identificação de origem nº 1013257, estimada no valor de R$ 1.775.197,02 (um milhão e setecentos e setenta e cinco mil e cento e noventa e sete reais e dois centavos),  que encontra-se em status de paralisada/inacabada pelo Painel Informativo de Acompanhamento de Obras Paralisadas do Tribunal de Contas da União.;
2472897.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2472897;DOC;1028.0;1564.0;2024;Comunica remessa à sanção do PL 2627/2019 (Of 1306/2024-SF).;
2392554.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392554;PROC;720.0;4.0;2023;"No uso das prerrogativas regimentais atribuídas aos presidentes de Comissões Permanentes e nos termos do art. 163, I, c/c o art. 164, caput, I, do Regimento Interno e, considerando o entendimento apresentado no Requerimento nº 79/2023 – CTRAB, de autoria do Deputado Vinicius Carvalho,  declaro prejudicado o Projeto de Lei 975, de 2021 – do Sr. Paulo Ganime - que ""altera a Lei nº 6.321, de 14 de abril de 1976 (PAT), para permitir a possibilidade de o trabalhador efetuar a portabilidade do seu crédito para outra prestadora de serviço de alimentação coletiva”, em consequência da edição da Lei nº 14.442, de 2 de setembro de 2022, oriunda da Medida Provisória nº 1.108, de 25 de março de 2022 que tratou de matéria idêntica.";
2371064.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2371064;INC;133.0;915.0;2023;Sugere a inclusão do município de Jacareacanga, no Estado do Pará, no Programa Nacional de Segurança nas Escolas.;
2371829.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2371829;RIC;148.0;1794.0;2023;Solicita informações ao ministro da Educação acerca do Programa Banda Larga nas Escolas no município de São Domingos do Araguaia, no Estado do Pará.;
2456817.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2456817;RIC;148.0;3373.0;2024;Requer informações ao Ministro de Estado dos Direitos Humanos e Cidadania, Sr. Silvio Almeida, a respeito das denúncias de assédio sexual noticiadas por grande parte da imprensa, inclusive cometida contra a Ministra Aniele Franco.;
2401535.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2401535;REQ;354.0;3822.0;2023;Requer Moção de Louvor e Regozijo ao Sr. 2º Tenente BM Cléber Barcelos Ferreira da Silva, devido tornar-se destaque por sua destreza, bravura e profissionalismo aos excelentes serviços prestados como Bombeiro Militar do Estado do Rio de Janeiro.;
2456275.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2456275;PL;139.0;3402.0;2024;Dispõe sobre o direito à livre escolha e utilização dos meios de comunicação virtuais e redes sociais, nacionais ou estrangeiras.;
2402089.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2402089;RIC;148.0;2703.0;2023;Solicita o encaminhamento de requerimento de informações ao Ministro de Estado de Minas e Energia, Sr Alexandre Silveira de Oliveira, sobre as ações tomadas pela sua pasta em relação as chuvas no estado do Paraná.;
2451784.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2451784;REQ;294.0;135.0;2024;Requer a realização de Audiência Pública para debater o Projeto de Decreto Legislativo nº 322, de 2024, que susta os efeitos da Resolução n° 249, de 10 de julho de 2024, do Conselho Nacional dos Direitos da Criança e Adolescente (CONANDA).;
2442572.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2442572;RIC;148.0;1867.0;2024;Solicita informações ao Sr. Ministro da Previdência Social, a respeito da sua declaração e afirmação, que não atende parlamentares da “turma do ex-presidente Bolsonaro”.;
2469826.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2469826;REQ;441.0;4542.0;2024;Requer a aprovação de moção de repúdio contra a animação brasileira “Arca de Noé”, produzida pela Globo Filmes, por apresentar conteúdo inadequado para crianças ao se afastar da narrativa tradicional do dilúvio bíblico.;
2392016.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392016;REQ;1017.0;359.0;2023;Solicita à Exma. Ministra do Ministério da Saúde, Sra. Nísia Trindade Lima, informações a cerca do contrato com dispensa de licitação firmado pelo Ministério no valor de R$ 87.000.000,00 (oitenta e sete milhões de reais) e que até o momento não há indícios de entrega dos insumos por parte da empresa contratada.;
2456939.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2456939;REQ;294.0;90.0;2024;Requer a realização de Audiência Pública para debater a precarização dos quadros técnicos no Sistema de Justiça Brasileiro.;
2451190.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2451190;DOC;1028.0;967.0;2024;Comunica restituição de autógrafo do PL 2562/2015, sancionado (Of 776/2024-SF).;
2363644.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2363644;EMC;130.0;125.0;2023;Dá nova redação à MPV 1164/2023;
2460019.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2460019;DOC;1028.0;1284.0;2024;Comunica promulgação de Decreto Legislativo nº 212/2024. (PDL nº 810/2021).(Of. 1076/2024-SF).;
2474114.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2474114;PDL;553.0;434.0;2024;Aprova o ato que renova a permissão outorgada à Rádio FM Iguatu Ltda. para executar serviço de radiodifusão sonora em frequência modulada, no Município de Limoeiro do Norte, Estado do Ceará.;
;;;;;2025;;
2441104.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2441104;RIC;148.0;1705.0;2024;Solicita informações ao Sr. Waldez Góes, Ministro da Integração e do Desenvolvimento Regional, sobre a segurança hídrica e as secas no município amazonense de Maraã.;
2364227.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2364227;REQ;1029.0;38.0;2023;Requer ao Ministério Público do Trabalho, informações, pesquisas, estudos e documentos pertinentes a processos judiciais, julgados ou em processamento, bem como de procedimentos administrativo e termos de ajustamento de condutas sobre ocorrência de trabalho escravo ou análogas à de escravo no Brasil.;
2358331.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2358331;PROC;720.0;108.0;2023;Inclusão de Assinatura Grupo Parlamentar Brasil-Nova Zelândia;
2443548.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2443548;PL;139.0;2589.0;2024;Confere ao município de Salvador, no estado da Bahia, o título de Capital Nacional da Capoeira.;
;;;;;2025;;
2389772.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2389772;PDL;557.0;329.0;2023;Susta os efeitos do inciso X do Decreto nº 8.874/2016, inserido pelo Decreto nº 11.498, de 25 de abril de 2023, que inclui a segurança pública e o sistema prisional na lista de setores prioritários elegíveis para a emissão de debêntures incentivadas sob a Lei nº 12.431, de 24 de junho de 2011.;
2355528.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2355528;REQ;441.0;1117.0;2023;Requer “Moção de Aplauso” ao Festival Vamos Fazer Poesia, da Cidade de Serra Talhada – PE.;
2367205.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2367205;EMC;130.0;89.0;2023;Dá nova redação à MPV 1162/2023;
2355350.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2355350;PDL;557.0;112.0;2023;Susta o Decreto nº 11.466, de 5 de abril de 2023, que atualiza a regulação das leis de saneamento.;
2417369.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417369;PDL;557.0;9.0;2024;Susta a PORTARIA Nº 166 - COLOG/C EX, DE 22 DE DEZEMBRO DE 2023, que Aprova as Normas para a Gestão de Produtos Controlados pelo Exército nas atividades de colecionamento, tiro desportivo e caça excepcional.;
2352223.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352223;REQ;354.0;790.0;2023;Requer Moção de Louvor e Regozijo ao Exmo. Sr. 1º SARGENTO PM LEONARDO ZIMBRÃO DE OLIVEIRA, devido tornar-se destaque por sua destreza, bravura e profissionalismo aos excelentes serviços prestados como agente da segurança pública, nas fileiras da corporação.;
2421855.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421855;PL;139.0;842.0;2024;Altera a Lei no 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para dispor sobre a obrigatoriedade de que aplicações de internet que se utilizem de mecanismos de inteligência artificial para a geração de conteúdos audiovisuais insiram sinalização nos conteúdos produzidos.;
2376187.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2376187;REQ;1030.0;349.0;2023;Requer que seja submetido à deliberação do Plenário desta Comissão Parlamentar de Inquérito o pedido, ora formulado, de REQUISIÇÃO para afastamento do sigilo fiscal, bancário, telefônico e telemático da empresa Casa Brasileira de Pesquisa e Cooperação, de suas Representantes Legais Isis Domingos Barbosa Campos e Jade Percassi de Carvalho, da Empresa AMBP Promoções e Eventos Empresariais, seus representantes legais Helena Mastroianni de Lemos Britto e Raphael Ferraz Mello Vieira de Aquino, e do senhor João Paulo Rodrigues Chaves, Coordenador Nacional do MST, nos termos que especifica.;
2368231.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2368231;PL;139.0;2975.0;2023;Introduz a situação específica da mulher indígena na legislação de enfrentamento da violência e de promoção da saúde e da educação.  NOVA EMENTA: Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), e 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para incluir a mulher indígena na legislação de enfrentamento da violência e de promoção da saúde e da educação.;
;;;;;2025;;
2392391.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392391;RPDR;1010.0;1.0;2023;Requerimento de Alteração da Ordem dos Trabalhos;
2434904.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2434904;PDL;557.0;274.0;2024;Susta a aplicação da Portaria nº 224 - COLOG/C EX, de 17 de maio de 2024, que altera as Normas para Aquisição, Registro, Cadastro e Transferência de Armas de Fogo e a Aquisição de Munições, Insumos, Acessórios e outros produtos controlados de competência do Comando do Exército, aprovadas pela Portaria nº 167 - COLOG/CEx, de 22 de janeiro de 2024.;
2375602.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2375602;PL;139.0;3731.0;2023;Tipifica como crime o exercício ilegal da Engenharia, da Arquitetura e Urbanismo e da Agronomia.;
2457416.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2457416;REQ;294.0;226.0;2024;Requer a realização de audiência pública para discutir a saúde mental e prevenção do suicídio entre jovens e adultos, no Setembro Amarelo.;
2390537.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2390537;ATA;810.0;2.0;2023;Ata - CEXMABRU -  9ª Reunião - 09/05/2023;
2476987.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2476987;PL;139.0;4757.0;2024;Dispões sobre a criação do Programa de Incentivo ao Empreendedorismo Rural (PROER) e do Fundo Nacional de Incentivo ao Empreendedorismo Rural (FNIER), com o objetivo de promover o desenvolvimento econômico e sustentável no campo.;
2381103.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381103;REQ;294.0;298.0;2023;Solicita que seja convocado o Excelentíssimo Senhor Ministro do Trabalho, Luiz Marinho,  para prestar esclarecimentos sobre a nova contribuição sindical obrigatória.;
2352015.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352015;REQ;294.0;5.0;2023;Requer a realização de audiência pública com o tema “Dia Mundial do Orgulho Autista”.;
;;;;;2025;;
2350236.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350236;REQ;294.0;18.0;2023;Pedido de Inclusão  de convidado em Audiência no Grupo de Trabalho do Sistema Tributário Nacional, com o seguinte convidado: Alberto Macedo, Doutor em Direito Econômico, Financeiro e Tributário pela USP;
2386210.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2386210;PL;139.0;4367.0;2023;Altera a Lei n° 8.001, de 13 de março de 1990, para majorar a alíquota da Compensação Financeira pela Exploração de Recursos Minerais (CFEM) do Lítio e autoriza a União a instituir o Fundo Social do Lítio.;
2433154.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2433154;ESB;258.0;1.0;2024;Acrescenta art. 3º-A à Lei nº 10.214, de 27 de março de 2001, para estabelecer a adoção, como critério preferencial no ciclo de liquidação de boletos, a cronologia da percepção dos pagamentos pelas instituições financeiras recebedoras, e conferir prioridade no processamento daqueles que tenham sido provisionados para débito em conta bancária em data determinada.;
;;;;;2025;;
2395536.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2395536;PL;139.0;4949.0;2023;Altera a Lei nº 12.009, de 29 de julho de 2009, para determinar que o mototaxista forneça toucas descartáveis aos passageiros.;
2466004.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2466004;DOC;1035.0;1492.0;2024;Atualização de Documentos da Frente Parlamentar da Agropecuária (FPA);
2466600.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2466600;REQ;305.0;4399.0;2024;Requer a desapensação do Projeto de Lei nº 3053, de 2023, de minha autoria, do Projeto de Lei nº 8045, de 2010.;
2436218.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2436218;PL;139.0;2018.0;2024;Acrescenta alíneas ao art. 2º da Lei nº 4.769, de 09 de setembro de 1965, para incluir a auditoria e perícia administrativa no exercício da profissão de Técnico de Administração.;
;;;;;2025;;
2428669.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2428669;REQ;294.0;33.0;2024;Requer a realização de diligências da Comissão de Direitos Humanos, Minorias e Igualdade Racial, em conjunto com o Conselho Nacional de Direitos Humanos (CNDH), de forma a observar in loco a diversidade de desafios aos direitos humanos nas cinco grandes regiões do Brasil.;
;;;;;2025;;
2409606.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2409606;DOC;1003.0;1504.0;2023;Of. nº 616/2023/PS-GSE, que encaminha ao Senado Federal o processado do PDL 215/2023, em revisão.;
2366200.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366200;RIC;148.0;1550.0;2023;Solicita informações ao Ministro da Educação acerca do Programa Banda Larga nas Escolas no município de Benevides, no Estado do Pará.;
;;;;;2025;;
2425670.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2425670;REQ;294.0;14.0;2024;Requer o aditamento ao REQ nº 05/2024 – CDC, para a inclusão de convidado na realização de audiência pública.;
2390159.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2390159;REQ;441.0;45.0;2023;Requer a aprovação de Moção de Louvor à Festa das Cerejeiras, de Garça/SP.;
2476535.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2476535;MSC;401.0;1553.0;2024;Submete à apreciação do Congresso Nacional o ato constante da Portaria nº 14.332, de 27 de agosto de 2024, publicada no Diário Oficial da União de 9 de setembro de 2024, que renova, a partir de 21 de junho de 2023, a permissão outorgada à Fundação Cultural São Judas Tadeu, para executar, pelo prazo de dez anos, o serviço de radiodifusão sonora, em frequência modulada, com fins exclusivamente educativos, no Município de Paraíso do Tocantins, Estado de Tocantins.;
2369359.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2369359;OF;181.0;18.0;2023;Requisita ao Ministério Público do Trabalho o compartilhamento de documentos e informações.;
2469857.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2469857;MSC;401.0;1416.0;2024;Submete à apreciação do Congresso Nacional o do ato constante da Portaria nº 11.010, de 9 de novembro de 2023, publicada no Diário Oficial da União de 24 de novembro de 2023, que outorga autorização à Associação Comitativa de Radiodifusão Comunitária ASCORC, para executar, pelo prazo de dez anos, sem direito de exclusividade, o serviço de radiodifusão comunitária, no Município de Aquidauana, Estado de Mato Grosso do Sul.;
2419811.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2419811;REQ;294.0;6.0;2024;Requer a realização de audiência pública para debater sobre assistência em Hepatologia no SUS.;
